"","Year_Quarter","Admissions","Releases","diff"
"1",2010 Q1,898,845,53
"2",2010 Q2,782,766,16
"3",2010 Q3,889,740,149
"4",2010 Q4,815,761,54
"5",2011 Q1,841,854,-13
"6",2011 Q2,790,826,-36
"7",2011 Q3,801,784,17
"8",2011 Q4,831,733,98
"9",2012 Q1,749,801,-52
"10",2012 Q2,793,767,26
"11",2012 Q3,804,771,33
"12",2012 Q4,797,727,70
"13",2013 Q1,817,821,-4
"14",2013 Q2,829,704,125
"15",2013 Q3,822,739,83
"16",2013 Q4,637,724,-87
"17",2014 Q1,731,805,-74
"18",2014 Q2,740,735,5
"19",2014 Q3,774,832,-58
"20",2014 Q4,691,606,85
"21",2015 Q1,707,1011,-304
"22",2015 Q2,736,779,-43
"23",2015 Q3,760,807,-47
"24",2015 Q4,611,749,-138
"25",2016 Q1,831,954,-123
"26",2016 Q2,772,928,-156
"27",2016 Q3,896,897,-1
"28",2016 Q4,808,848,-40
"29",2017 Q1,995,910,85
"30",2017 Q2,980,938,42
"31",2017 Q3,951,936,15
"32",2017 Q4,942,840,102
"33",2018 Q1,948,938,10
"34",2018 Q2,948,911,37
"35",2018 Q3,948,840,108
"36",2018 Q4,902,829,73
"37",2019 Q1,1020,923,97
"38",2019 Q2,1040,1068,-28
"39",2019 Q3,1061,999,62
"40",2019 Q4,936,1049,-113
"41",2020 Q1,976,1264,-288
"42",2020 Q2,571,1307,-736
"43",2020 Q3,729,754,-25
"44",2020 Q4,670,845,-175
"45",2021 Q1,871,755,116
"46",2021 Q2,949,720,229
"47",2021 Q3,887,814,73
"48",2021 Q4,916,873,43
"49",2022 Q1,826,883,-57
"50",2022 Q2,949,1032,-83
"51",2022 Q3,930,799,131
"52",2022 Q4,906,799,107
"53",2023 Q1,910,845,65
"54",2023 Q2,871,884,-13
"55",2023 Q3,950,748,202
"56",2023 Q4,877,735,142
"57",2024 Q1,831,799,32
"58",2024 Q2,685,819,-134
"59",2024 Q3,783,693,90
"60",2024 Q4,742,822,-80
