"","Quarter_Year","gender","top_ofnse_typ_desc","Count"
"1",2010 Q1,"F","ALCOHOL & DRUG",98.46
"2",2010 Q1,"F","DRIVING",28.55
"3",2010 Q1,"F","DRUG POSSESSION ONLY",68.04
"4",2010 Q1,"F","MURDER",41.6
"5",2010 Q1,"F","OTHER",17.14
"6",2010 Q1,"F","PERSON",82.91
"7",2010 Q1,"F","PROPERTY",205.29
"8",2010 Q1,"F","SEX OFFENSE",23.61
"9",2010 Q1,"F","WEAPONS",1
"10",2010 Q1,"M","ALCOHOL & DRUG",490.26
"11",2010 Q1,"M","DRIVING",277.99
"12",2010 Q1,"M","DRUG POSSESSION ONLY",252.97
"13",2010 Q1,"M","MURDER",617.05
"14",2010 Q1,"M","OTHER",78.49
"15",2010 Q1,"M","PERSON",1083.3
"16",2010 Q1,"M","PROPERTY",1149.35
"17",2010 Q1,"M","SEX OFFENSE",1985.69
"18",2010 Q1,"M","WEAPONS",71.98
"19",2010 Q2,"F","ALCOHOL & DRUG",89.09
"20",2010 Q2,"F","DRIVING",23.03
"21",2010 Q2,"F","DRUG POSSESSION ONLY",67.03
"22",2010 Q2,"F","MURDER",41.07
"23",2010 Q2,"F","OTHER",9.84
"24",2010 Q2,"F","PERSON",86.6
"25",2010 Q2,"F","PROPERTY",201.96
"26",2010 Q2,"F","SEX OFFENSE",24.53
"27",2010 Q2,"F","WEAPONS",1
"28",2010 Q2,"M","ALCOHOL & DRUG",497.8
"29",2010 Q2,"M","DRIVING",296.11
"30",2010 Q2,"M","DRUG POSSESSION ONLY",239.41
"31",2010 Q2,"M","MURDER",616.2
"32",2010 Q2,"M","OTHER",77.42
"33",2010 Q2,"M","PERSON",1105.64
"34",2010 Q2,"M","PROPERTY",1193.9
"35",2010 Q2,"M","SEX OFFENSE",2012.5
"36",2010 Q2,"M","WEAPONS",76.63
"37",2010 Q3,"F","ALCOHOL & DRUG",94.99
"38",2010 Q3,"F","DRIVING",21.59
"39",2010 Q3,"F","DRUG POSSESSION ONLY",72.04
"40",2010 Q3,"F","MURDER",42.03
"41",2010 Q3,"F","OTHER",8.7
"42",2010 Q3,"F","PERSON",85.46
"43",2010 Q3,"F","PROPERTY",219.07
"44",2010 Q3,"F","SEX OFFENSE",25.54
"45",2010 Q3,"F","WEAPONS",2.64
"46",2010 Q3,"M","ALCOHOL & DRUG",499.52
"47",2010 Q3,"M","DRIVING",304.8
"48",2010 Q3,"M","DRUG POSSESSION ONLY",232.44
"49",2010 Q3,"M","MURDER",618.87
"50",2010 Q3,"M","OTHER",81.41
"51",2010 Q3,"M","PERSON",1126.61
"52",2010 Q3,"M","PROPERTY",1189.21
"53",2010 Q3,"M","SEX OFFENSE",2029.75
"54",2010 Q3,"M","WEAPONS",77.5
"55",2010 Q4,"F","ALCOHOL & DRUG",106.31
"56",2010 Q4,"F","DRIVING",22.48
"57",2010 Q4,"F","DRUG POSSESSION ONLY",62.46
"58",2010 Q4,"F","MURDER",42.28
"59",2010 Q4,"F","OTHER",12.85
"60",2010 Q4,"F","PERSON",88.89
"61",2010 Q4,"F","PROPERTY",231.63
"62",2010 Q4,"F","SEX OFFENSE",25.7
"63",2010 Q4,"F","WEAPONS",3
"64",2010 Q4,"M","ALCOHOL & DRUG",497.48
"65",2010 Q4,"M","DRIVING",315.48
"66",2010 Q4,"M","DRUG POSSESSION ONLY",219.62
"67",2010 Q4,"M","MURDER",624.86
"68",2010 Q4,"M","OTHER",90.58
"69",2010 Q4,"M","PERSON",1144.28
"70",2010 Q4,"M","PROPERTY",1216.48
"71",2010 Q4,"M","SEX OFFENSE",2045.98
"72",2010 Q4,"M","WEAPONS",78.52
"73",2011 Q1,"F","ALCOHOL & DRUG",103.9
"74",2011 Q1,"F","DRIVING",23.49
"75",2011 Q1,"F","DRUG POSSESSION ONLY",59.38
"76",2011 Q1,"F","MURDER",42.57
"77",2011 Q1,"F","OTHER",11.19
"78",2011 Q1,"F","PERSON",92.8
"79",2011 Q1,"F","PROPERTY",238.52
"80",2011 Q1,"F","SEX OFFENSE",29.87
"81",2011 Q1,"F","WEAPONS",2.12
"82",2011 Q1,"M","ALCOHOL & DRUG",488.08
"83",2011 Q1,"M","DRIVING",303.08
"84",2011 Q1,"M","DRUG POSSESSION ONLY",213.89
"85",2011 Q1,"M","MURDER",629.29
"86",2011 Q1,"M","OTHER",91.08
"87",2011 Q1,"M","PERSON",1146.03
"88",2011 Q1,"M","PROPERTY",1225.85
"89",2011 Q1,"M","SEX OFFENSE",2059.74
"90",2011 Q1,"M","WEAPONS",79.82
"91",2011 Q2,"F","ALCOHOL & DRUG",100.53
"92",2011 Q2,"F","DRIVING",26.66
"93",2011 Q2,"F","DRUG POSSESSION ONLY",64.65
"94",2011 Q2,"F","MURDER",43.08
"95",2011 Q2,"F","OTHER",10.86
