"","Quarter_Year","gender","admin_type","Count"
"1",2010 Q1,"F","New Commitment",478.59
"2",2010 Q1,"F","Technical Commitment",88.01
"3",2010 Q1,"M","New Commitment",5297.73
"4",2010 Q1,"M","Technical Commitment",709.35
"5",2010 Q2,"F","New Commitment",467.12
"6",2010 Q2,"F","Technical Commitment",77.03
"7",2010 Q2,"M","New Commitment",5416.9
"8",2010 Q2,"M","Technical Commitment",698.71
"9",2010 Q3,"F","New Commitment",491.88
"10",2010 Q3,"F","Technical Commitment",80.18
"11",2010 Q3,"M","New Commitment",5467.68
"12",2010 Q3,"M","Technical Commitment",692.43
"13",2010 Q4,"F","New Commitment",521.64
"14",2010 Q4,"F","Technical Commitment",73.96
"15",2010 Q4,"M","New Commitment",5538.56
"16",2010 Q4,"M","Technical Commitment",694.72
"17",2011 Q1,"F","New Commitment",531.31
"18",2011 Q1,"F","Technical Commitment",72.53
"19",2011 Q1,"M","New Commitment",5599.5
"20",2011 Q1,"M","Technical Commitment",637.36
"21",2011 Q2,"F","New Commitment",532.07
"22",2011 Q2,"F","Technical Commitment",64.51
"23",2011 Q2,"M","New Commitment",5644.02
"24",2011 Q2,"M","Technical Commitment",591.43
"25",2011 Q3,"F","New Commitment",515
"26",2011 Q3,"F","Technical Commitment",57.54
"27",2011 Q3,"M","New Commitment",5632.85
"28",2011 Q3,"M","Technical Commitment",577.57
"29",2011 Q4,"F","New Commitment",514.4
"30",2011 Q4,"F","Technical Commitment",67.2
"31",2011 Q4,"M","New Commitment",5668.88
"32",2011 Q4,"M","Technical Commitment",577.03
"33",2012 Q1,"F","New Commitment",537.93
"34",2012 Q1,"F","Technical Commitment",73.46
"35",2012 Q1,"M","New Commitment",5683.31
"36",2012 Q1,"M","Technical Commitment",581.43
"37",2012 Q2,"F","New Commitment",537.91
"38",2012 Q2,"F","Technical Commitment",71.89
"39",2012 Q2,"M","New Commitment",5675.13
"40",2012 Q2,"M","Technical Commitment",582.98
"41",2012 Q3,"F","New Commitment",545.39
"42",2012 Q3,"F","Technical Commitment",75.63
"43",2012 Q3,"M","New Commitment",5655.05
"44",2012 Q3,"M","Technical Commitment",602.37
"45",2012 Q4,"F","New Commitment",566.42
"46",2012 Q4,"F","Technical Commitment",72.38
"47",2012 Q4,"M","New Commitment",5694.77
"48",2012 Q4,"M","Technical Commitment",624.76
"49",2013 Q1,"F","New Commitment",580.8
"50",2013 Q1,"F","Technical Commitment",71.25
"51",2013 Q1,"M","New Commitment",5694.39
"52",2013 Q1,"M","Technical Commitment",608.35
"53",2013 Q2,"F","New Commitment",604.4
"54",2013 Q2,"F","Technical Commitment",81.57
"55",2013 Q2,"M","New Commitment",5760.32
"56",2013 Q2,"M","Technical Commitment",611.74
"57",2013 Q3,"F","New Commitment",589.96
"58",2013 Q3,"F","Technical Commitment",82.61
"59",2013 Q3,"M","New Commitment",5824.1
"60",2013 Q3,"M","Technical Commitment",637.2
"61",2013 Q4,"F","New Commitment",597.44
"62",2013 Q4,"F","Technical Commitment",82.98
"63",2013 Q4,"M","New Commitment",5823.69
"64",2013 Q4,"M","Technical Commitment",640.43
"65",2014 Q1,"F","New Commitment",574.05
"66",2014 Q1,"F","Technical Commitment",76.25
"67",2014 Q1,"M","New Commitment",5746.48
"68",2014 Q1,"M","Technical Commitment",641.19
"69",2014 Q2,"F","New Commitment",550.75
"70",2014 Q2,"F","Technical Commitment",88.59
"71",2014 Q2,"M","New Commitment",5725.57
"72",2014 Q2,"M","Technical Commitment",666.73
"73",2014 Q3,"F","New Commitment",541.57
"74",2014 Q3,"F","Technical Commitment",93.29
"75",2014 Q3,"M","New Commitment",5710.32
"76",2014 Q3,"M","Technical Commitment",662.4
