"","Quarter_Year","admin_type","top_ofnse_typ_desc","Count"
"1",2010 Q1,"New Commitment","ALCOHOL & DRUG",515.4
"2",2010 Q1,"New Commitment","DRIVING",261.86
"3",2010 Q1,"New Commitment","DRUG POSSESSION ONLY",247.18
"4",2010 Q1,"New Commitment","MURDER",617.72
"5",2010 Q1,"New Commitment","OTHER",78.5
"6",2010 Q1,"New Commitment","PERSON",1047.41
"7",2010 Q1,"New Commitment","PROPERTY",1144.96
"8",2010 Q1,"New Commitment","SEX OFFENSE",1800.39
"9",2010 Q1,"New Commitment","WEAPONS",62.9
"10",2010 Q1,"Technical Commitment","ALCOHOL & DRUG",73.32
"11",2010 Q1,"Technical Commitment","DRIVING",44.68
"12",2010 Q1,"Technical Commitment","DRUG POSSESSION ONLY",73.83
"13",2010 Q1,"Technical Commitment","MURDER",40.93
"14",2010 Q1,"Technical Commitment","OTHER",17.13
"15",2010 Q1,"Technical Commitment","PERSON",118.8
"16",2010 Q1,"Technical Commitment","PROPERTY",209.68
"17",2010 Q1,"Technical Commitment","SEX OFFENSE",208.91
"18",2010 Q1,"Technical Commitment","WEAPONS",10.08
"19",2010 Q2,"New Commitment","ALCOHOL & DRUG",517.68
"20",2010 Q2,"New Commitment","DRIVING",270.77
"21",2010 Q2,"New Commitment","DRUG POSSESSION ONLY",243.96
"22",2010 Q2,"New Commitment","MURDER",618.18
"23",2010 Q2,"New Commitment","OTHER",74.55
"24",2010 Q2,"New Commitment","PERSON",1071.79
"25",2010 Q2,"New Commitment","PROPERTY",1196.87
"26",2010 Q2,"New Commitment","SEX OFFENSE",1824.06
"27",2010 Q2,"New Commitment","WEAPONS",66.16
"28",2010 Q2,"Technical Commitment","ALCOHOL & DRUG",69.21
"29",2010 Q2,"Technical Commitment","DRIVING",48.37
"30",2010 Q2,"Technical Commitment","DRUG POSSESSION ONLY",62.48
"31",2010 Q2,"Technical Commitment","MURDER",39.09
"32",2010 Q2,"Technical Commitment","OTHER",12.71
"33",2010 Q2,"Technical Commitment","PERSON",120.45
"34",2010 Q2,"Technical Commitment","PROPERTY",198.99
"35",2010 Q2,"Technical Commitment","SEX OFFENSE",212.97
"36",2010 Q2,"Technical Commitment","WEAPONS",11.47
"37",2010 Q3,"New Commitment","ALCOHOL & DRUG",517.97
"38",2010 Q3,"New Commitment","DRIVING",273.19
"39",2010 Q3,"New Commitment","DRUG POSSESSION ONLY",245.77
"40",2010 Q3,"New Commitment","MURDER",620.76
"41",2010 Q3,"New Commitment","OTHER",76.59
"42",2010 Q3,"New Commitment","PERSON",1091.3
"43",2010 Q3,"New Commitment","PROPERTY",1224.72
"44",2010 Q3,"New Commitment","SEX OFFENSE",1842.64
"45",2010 Q3,"New Commitment","WEAPONS",66.62
"46",2010 Q3,"Technical Commitment","ALCOHOL & DRUG",76.54
"47",2010 Q3,"Technical Commitment","DRIVING",53.2
"48",2010 Q3,"Technical Commitment","DRUG POSSESSION ONLY",58.71
"49",2010 Q3,"Technical Commitment","MURDER",40.14
"50",2010 Q3,"Technical Commitment","OTHER",13.52
"51",2010 Q3,"Technical Commitment","PERSON",120.77
"52",2010 Q3,"Technical Commitment","PROPERTY",183.56
"53",2010 Q3,"Technical Commitment","SEX OFFENSE",212.65
"54",2010 Q3,"Technical Commitment","WEAPONS",13.52
"55",2010 Q4,"New Commitment","ALCOHOL & DRUG",520.76
"56",2010 Q4,"New Commitment","DRIVING",286.08
"57",2010 Q4,"New Commitment","DRUG POSSESSION ONLY",225.24
"58",2010 Q4,"New Commitment","MURDER",623.8
"59",2010 Q4,"New Commitment","OTHER",89.13
"60",2010 Q4,"New Commitment","PERSON",1119.71
"61",2010 Q4,"New Commitment","PROPERTY",1270.82
"62",2010 Q4,"New Commitment","SEX OFFENSE",1858.98
"63",2010 Q4,"New Commitment","WEAPONS",65.68
"64",2010 Q4,"Technical Commitment","ALCOHOL & DRUG",83.03
"65",2010 Q4,"Technical Commitment","DRIVING",51.88
"66",2010 Q4,"Technical Commitment","DRUG POSSESSION ONLY",56.84
"67",2010 Q4,"Technical Commitment","MURDER",43.34
"68",2010 Q4,"Technical Commitment","OTHER",14.3
"69",2010 Q4,"Technical Commitment","PERSON",113.46
"70",2010 Q4,"Technical Commitment","PROPERTY",177.29
"71",2010 Q4,"Technical Commitment","SEX OFFENSE",212.7
"72",2010 Q4,"Technical Commitment","WEAPONS",15.84
"73",2011 Q1,"New Commitment","ALCOHOL & DRUG",522.14
"74",2011 Q1,"New Commitment","DRIVING",286.09
"75",2011 Q1,"New Commitment","DRUG POSSESSION ONLY",224.98
"76",2011 Q1,"New Commitment","MURDER",629.57
"77",2011 Q1,"New Commitment","OTHER",89.74
"78",2011 Q1,"New Commitment","PERSON",1126.31
"79",2011 Q1,"New Commitment","PROPERTY",1300.79
"80",2011 Q1,"New Commitment","SEX OFFENSE",1883.73
