"","Quarter_Year","Actual_male","Forecasted_male","Lower_CI_male","Upper_CI_male","Forecasted_male_adj","Lower_CI_adj","Upper_CI_adj","Actual_female","Forecasted_female","Lower_CI_female","Upper_CI_female","Actual_total","Forecasted_total_adj","Lower_CI_total_adj","Upper_CI_total_adj"
"1",2010 Q1,6007.08,NA,NA,NA,NA,NA,NA,566.6,NA,NA,NA,6573.68,NA,NA,NA
"2",2010 Q2,6115.61,NA,NA,NA,NA,NA,NA,544.15,NA,NA,NA,6659.76,NA,NA,NA
"3",2010 Q3,6160.11,NA,NA,NA,NA,NA,NA,572.06,NA,NA,NA,6732.17,NA,NA,NA
"4",2010 Q4,6233.28,NA,NA,NA,NA,NA,NA,595.6,NA,NA,NA,6828.88,NA,NA,NA
"5",2011 Q1,6236.86,NA,NA,NA,NA,NA,NA,603.84,NA,NA,NA,6840.7,NA,NA,NA
"6",2011 Q2,6235.45,NA,NA,NA,NA,NA,NA,596.58,NA,NA,NA,6832.03,NA,NA,NA
"7",2011 Q3,6210.42,NA,NA,NA,NA,NA,NA,572.54,NA,NA,NA,6782.96,NA,NA,NA
"8",2011 Q4,6245.91,NA,NA,NA,NA,NA,NA,581.6,NA,NA,NA,6827.51,NA,NA,NA
"9",2012 Q1,6264.74,NA,NA,NA,NA,NA,NA,611.39,NA,NA,NA,6876.13,NA,NA,NA
"10",2012 Q2,6258.11,NA,NA,NA,NA,NA,NA,609.8,NA,NA,NA,6867.91,NA,NA,NA
"11",2012 Q3,6257.42,NA,NA,NA,NA,NA,NA,621.02,NA,NA,NA,6878.44,NA,NA,NA
"12",2012 Q4,6319.53,NA,NA,NA,NA,NA,NA,638.8,NA,NA,NA,6958.33,NA,NA,NA
"13",2013 Q1,6302.74,NA,NA,NA,NA,NA,NA,652.05,NA,NA,NA,6954.79,NA,NA,NA
"14",2013 Q2,6372.06,NA,NA,NA,NA,NA,NA,685.97,NA,NA,NA,7058.03,NA,NA,NA
"15",2013 Q3,6461.3,NA,NA,NA,NA,NA,NA,672.57,NA,NA,NA,7133.87,NA,NA,NA
"16",2013 Q4,6464.12,NA,NA,NA,NA,NA,NA,680.42,NA,NA,NA,7144.54,NA,NA,NA
"17",2014 Q1,6387.67,NA,NA,NA,NA,NA,NA,650.3,NA,NA,NA,7037.97,NA,NA,NA
"18",2014 Q2,6392.3,NA,NA,NA,NA,NA,NA,639.34,NA,NA,NA,7031.64,NA,NA,NA
"19",2014 Q3,6372.72,NA,NA,NA,NA,NA,NA,634.86,NA,NA,NA,7007.58,NA,NA,NA
"20",2014 Q4,6361.6,NA,NA,NA,NA,NA,NA,648.63,NA,NA,NA,7010.23,NA,NA,NA
"21",2015 Q1,6238.84,NA,NA,NA,NA,NA,NA,626.82,NA,NA,NA,6865.66,NA,NA,NA
"22",2015 Q2,6196.68,NA,NA,NA,NA,NA,NA,582.07,NA,NA,NA,6778.75,NA,NA,NA
"23",2015 Q3,6156.11,NA,NA,NA,NA,NA,NA,564.43,NA,NA,NA,6720.54,NA,NA,NA
"24",2015 Q4,6050.26,NA,NA,NA,NA,NA,NA,532.24,NA,NA,NA,6582.5,NA,NA,NA
"25",2016 Q1,5928.99,NA,NA,NA,NA,NA,NA,496.86,NA,NA,NA,6425.85,NA,NA,NA
"26",2016 Q2,5862.84,NA,NA,NA,NA,NA,NA,473.6,NA,NA,NA,6336.44,NA,NA,NA
"27",2016 Q3,5816.78,NA,NA,NA,NA,NA,NA,436.98,NA,NA,NA,6253.76,NA,NA,NA
"28",2016 Q4,5814.22,NA,NA,NA,NA,NA,NA,423.04,NA,NA,NA,6237.26,NA,NA,NA
"29",2017 Q1,5789.59,NA,NA,NA,NA,NA,NA,418.01,NA,NA,NA,6207.6,NA,NA,NA
"30",2017 Q2,5870.09,NA,NA,NA,NA,NA,NA,447.24,NA,NA,NA,6317.33,NA,NA,NA
"31",2017 Q3,5874.68,NA,NA,NA,NA,NA,NA,470.76,NA,NA,NA,6345.44,NA,NA,NA
"32",2017 Q4,5894.61,NA,NA,NA,NA,NA,NA,473.57,NA,NA,NA,6368.18,NA,NA,NA
"33",2018 Q1,5966.01,NA,NA,NA,NA,NA,NA,494.39,NA,NA,NA,6460.4,NA,NA,NA
"34",2018 Q2,5928.58,NA,NA,NA,NA,NA,NA,543.65,NA,NA,NA,6472.23,NA,NA,NA
"35",2018 Q3,6020.48,NA,NA,NA,NA,NA,NA,558.51,NA,NA,NA,6578.99,NA,NA,NA
"36",2018 Q4,6058.54,NA,NA,NA,NA,NA,NA,574.65,NA,NA,NA,6633.19,NA,NA,NA
"37",2019 Q1,6123.84,NA,NA,NA,NA,NA,NA,583.5,NA,NA,NA,6707.34,NA,NA,NA
"38",2019 Q2,6184.26,NA,NA,NA,NA,NA,NA,595.86,NA,NA,NA,6780.12,NA,NA,NA
"39",2019 Q3,6191.7,NA,NA,NA,NA,NA,NA,602.19,NA,NA,NA,6793.89,NA,NA,NA
"40",2019 Q4,6185.23,NA,NA,NA,NA,NA,NA,592.72,NA,NA,NA,6777.95,NA,NA,NA
"41",2020 Q1,6073.31,NA,NA,NA,NA,NA,NA,561.21,NA,NA,NA,6634.52,NA,NA,NA
"42",2020 Q2,5559.15,NA,NA,NA,NA,NA,NA,447.93,NA,NA,NA,6007.08,NA,NA,NA
"43",2020 Q3,5320.9,NA,NA,NA,NA,NA,NA,377.18,NA,NA,NA,5698.08,NA,NA,NA
"44",2020 Q4,5195.88,NA,NA,NA,NA,NA,NA,369.43,NA,NA,NA,5565.31,NA,NA,NA
"45",2021 Q1,5145.15,NA,NA,NA,NA,NA,NA,397,NA,NA,NA,5542.15,NA,NA,NA
"46",2021 Q2,5250.58,NA,NA,NA,NA,NA,NA,444.69,NA,NA,NA,5695.27,NA,NA,NA
"47",2021 Q3,5408.63,NA,NA,NA,NA,NA,NA,462.47,NA,NA,NA,5871.1,NA,NA,NA
"48",2021 Q4,5447.1,NA,NA,NA,NA,NA,NA,483.19,NA,NA,NA,5930.29,NA,NA,NA
"49",2022 Q1,5446.51,NA,NA,NA,NA,NA,NA,459.74,NA,NA,NA,5906.25,NA,NA,NA
"50",2022 Q2,5429.98,NA,NA,NA,NA,NA,NA,450.1,NA,NA,NA,5880.08,NA,NA,NA
"51",2022 Q3,5486.12,NA,NA,NA,NA,NA,NA,453.28,NA,NA,NA,5939.4,NA,NA,NA
"52",2022 Q4,5544.81,NA,NA,NA,NA,NA,NA,443.79,NA,NA,NA,5988.6,NA,NA,NA
"53",2023 Q1,5605.01,NA,NA,NA,NA,NA,NA,446.88,NA,NA,NA,6051.89,NA,NA,NA
"54",2023 Q2,5659.43,NA,NA,NA,NA,NA,NA,464.59,NA,NA,NA,6124.02,NA,NA,NA
"55",2023 Q3,5725.98,NA,NA,NA,NA,NA,NA,467.83,NA,NA,NA,6193.81,NA,NA,NA
"56",2023 Q4,5860.67,NA,NA,NA,NA,NA,NA,475.82,NA,NA,NA,6336.49,NA,NA,NA
"57",2024 Q1,5985.7,NA,NA,NA,NA,NA,NA,493.73,NA,NA,NA,6479.43,NA,NA,NA
"58",2024 Q2,5934.93,NA,NA,NA,NA,NA,NA,472.6,NA,NA,NA,6407.53,NA,NA,NA
"59",2024 Q3,5947.81,NA,NA,NA,NA,NA,NA,444.53,NA,NA,NA,6392.34,NA,NA,NA
"60",2024 Q4,5921.4,NA,NA,NA,NA,NA,NA,443.57,NA,NA,NA,6364.97,NA,NA,NA
"61",2025 Q1,NA,5946.98055238613,5535.14426066479,6358.81684410747,5946.98055238613,5535.14426066479,6358.81684410747,NA,449.079386162018,338.35315255505,559.805619768986,NA,6396.05993854814,5873.49741321984,6918.62246387645
"62",2025 Q2,NA,5963.50526165931,5500.20782837212,6426.8026949465,5971.9851514552,5508.02892589658,6435.94137701382,NA,452.325143054249,328.30539447945,576.344891629047,NA,6424.31029450945,5836.33432037603,7012.28626864287
"63",2025 Q3,NA,5980.02997093249,5474.36544437062,6485.69449749437,5997.04883711834,5489.94521460639,6504.15245963029,NA,455.570899946479,320.600930384205,590.540869508753,NA,6452.61973706482,5810.5461449906,7094.69332913904
"64",2025 Q4,NA,5996.55468020568,5453.89470021866,6539.21466019269,6022.17172685472,5477.1935246946,6567.14992901484,NA,458.81665683871,314.279840078473,603.353473598946,NA,6480.98838369343,5791.47336477307,7170.50340261379
"65",2026 Q1,NA,6013.07938947886,5437.06388352383,6589.09489543389,6047.35393835816,5468.05514436795,6626.65273234838,NA,462.06241373094,308.895574316061,615.229253145819,NA,6509.4163520891,5776.95071868401,7241.8819854942
"66",2026 Q2,NA,6029.60409875204,5422.90014167753,6636.30805582655,6072.59558953747,5461.56579163612,6683.62538743882,NA,465.308170623171,304.197283358557,626.419057887785,NA,6537.90376016064,5765.76307499468,7310.0444453266
"67",2026 Q3,NA,6046.12880802523,5410.79267198657,6681.46494406388,6097.89679851684,5457.12080565513,6738.67279137855,NA,468.553927515401,300.02748575488,637.080369275923,NA,6566.45072603224,5757.14829141001,7375.75316065447
"68",2026 Q4,NA,6062.65351729841,5400.32849455497,6724.97854004185,6123.2576836362,5454.31185438725,6792.20351288516,NA,471.799684407632,296.279716567368,647.319652247896,NA,6595.05736804384,5750.59157095462,7439.52316513305
"69",2027 Q1,NA,6079.17822657159,5391.21315559421,6767.14329754897,6148.67836345164,5452.84813951779,6844.50858738548,NA,475.045441299862,292.878077827024,657.2128047727,NA,6623.7238047515,5745.72621734481,7501.72139215818
"70",2027 Q2,NA,6095.70293584477,5383.22814831451,6808.17772337504,6174.1589567357,5452.51411328193,6895.80380018947,NA,478.291198192093,289.766257881903,666.816138502283,NA,6652.45015492779,5742.28037116383,7562.61993869175
"71",2027 Q3,NA,6112.22764511796,5376.20618863562,6848.2491016003,6199.69958247784,5453.14494129182,6946.25422366386,NA,481.536955084324,286.901155229433,676.172754939214,NA,6681.23653756216,5740.04609652125,7622.42697860307
"72",2027 Q4,NA,6128.75235439114,5370.01596616625,6887.48874261603,6225.30035988475,5454.61137825379,6995.9893415157,NA,484.782711976554,284.248945878919,685.31647807419,NA,6710.0830718613,5738.86032413271,7681.30581958989
"73",2028 Q1,NA,6145.27706366432,5364.55227651443,6926.00185081421,6250.96140838076,5456.80998697516,7045.11282978636,NA,488.028468868785,281.782538482757,694.274399254812,NA,6738.98987724955,5738.59252545792,7739.38722904117
"74",2028 Q2,NA,6161.80177293751,5359.72938054843,6963.87416532658,6276.68284760821,5459.6565599468,7093.70913526962,NA,491.274225761015,279.479861656162,703.068589865869,NA,6767.95707336922,5739.13642160296,7796.77772513548
"75",2028 Q3,NA,6178.32648221069,5355.47638700054,7001.17657742084,6302.46479742782,5463.08154800678,7141.84804684886,NA,494.519982653246,277.32267309428,711.717292212212,NA,6796.98478008106,5740.40422110106,7853.56533906107
"76",2028 Q4,NA,6194.85119148387,5351.73395198596,7037.96843098179,6328.30737791908,5467.02679469858,7189.58796113958,NA,497.765739545476,275.295708310436,720.235770780517,NA,6826.07311746456,5742.32250300902,7909.8237319201
"77",2029 Q1,NA,6211.37590075706,5348.4518632802,7074.29993823391,6354.21070938063,5471.4431474224,7236.97827133885,NA,501.011496437707,273.386057549284,728.63693532613,NA,6855.22220581834,5744.82920497169,7965.61520666498
"78",2029 Q2,NA,6227.90061003024,5345.58723547855,7110.21398458193,6380.17491233063,5476.28867367385,7284.0611509874,NA,504.257253329938,271.582700246413,736.931806413463,NA,6884.43216566057,5747.87137392027,8020.99295740086
"79",2029 Q3,NA,6244.42531930342,5343.10313709311,7145.74750151373,6406.20010750715,5481.52730491555,7330.87291009875,NA,507.503010222168,269.876150887422,745.129869556914,NA,6913.70311772931,5751.40345580297,8076.00277965566
"80",2029 Q4,NA,6260.9500285766,5340.96752951509,7180.93252763812,6432.28641586855,5487.1277890562,7377.44504268089,NA,510.748767114399,268.258185301443,753.239348927355,NA,6943.03518298295,5755.38597435764,8130.68439160825
