"","Quarter_Year","Actual","Forecasted","Lower_CI","Upper_CI"
"1",2010 Q1,566.6,NA,NA,NA
"2",2010 Q2,544.15,NA,NA,NA
"3",2010 Q3,572.06,NA,NA,NA
"4",2010 Q4,595.6,NA,NA,NA
"5",2011 Q1,603.84,NA,NA,NA
"6",2011 Q2,596.58,NA,NA,NA
"7",2011 Q3,572.54,NA,NA,NA
"8",2011 Q4,581.6,NA,NA,NA
"9",2012 Q1,611.39,NA,NA,NA
"10",2012 Q2,609.8,NA,NA,NA
"11",2012 Q3,621.02,NA,NA,NA
"12",2012 Q4,638.8,NA,NA,NA
"13",2013 Q1,652.05,NA,NA,NA
"14",2013 Q2,685.97,NA,NA,NA
"15",2013 Q3,672.57,NA,NA,NA
"16",2013 Q4,680.42,NA,NA,NA
"17",2014 Q1,650.3,NA,NA,NA
"18",2014 Q2,639.34,NA,NA,NA
"19",2014 Q3,634.86,NA,NA,NA
"20",2014 Q4,648.63,NA,NA,NA
"21",2015 Q1,626.82,NA,NA,NA
"22",2015 Q2,582.07,NA,NA,NA
"23",2015 Q3,564.43,NA,NA,NA
"24",2015 Q4,532.24,NA,NA,NA
"25",2016 Q1,496.86,NA,NA,NA
"26",2016 Q2,473.6,NA,NA,NA
"27",2016 Q3,436.98,NA,NA,NA
"28",2016 Q4,423.04,NA,NA,NA
"29",2017 Q1,418.01,NA,NA,NA
"30",2017 Q2,447.24,NA,NA,NA
"31",2017 Q3,470.76,NA,NA,NA
"32",2017 Q4,473.57,NA,NA,NA
"33",2018 Q1,494.39,NA,NA,NA
"34",2018 Q2,543.65,NA,NA,NA
"35",2018 Q3,558.51,NA,NA,NA
"36",2018 Q4,574.65,NA,NA,NA
"37",2019 Q1,583.5,NA,NA,NA
"38",2019 Q2,595.86,NA,NA,NA
"39",2019 Q3,602.19,NA,NA,NA
"40",2019 Q4,592.72,NA,NA,NA
"41",2020 Q1,561.21,NA,NA,NA
"42",2020 Q2,447.93,NA,NA,NA
"43",2020 Q3,377.18,NA,NA,NA
"44",2020 Q4,369.43,NA,NA,NA
"45",2021 Q1,397,NA,NA,NA
"46",2021 Q2,444.69,NA,NA,NA
"47",2021 Q3,462.47,NA,NA,NA
"48",2021 Q4,483.19,NA,NA,NA
"49",2022 Q1,459.74,NA,NA,NA
"50",2022 Q2,450.1,NA,NA,NA
"51",2022 Q3,453.28,NA,NA,NA
"52",2022 Q4,443.79,NA,NA,NA
"53",2023 Q1,446.88,NA,NA,NA
"54",2023 Q2,464.59,NA,NA,NA
"55",2023 Q3,467.83,NA,NA,NA
"56",2023 Q4,475.82,NA,NA,NA
"57",2024 Q1,493.73,NA,NA,NA
"58",2024 Q2,472.6,NA,NA,NA
"59",2024 Q3,444.53,NA,NA,NA
"60",2024 Q4,443.57,NA,NA,NA
"61",2025 Q1,NA,449.079386162018,338.35315255505,559.805619768986
"62",2025 Q2,NA,452.325143054249,328.30539447945,576.344891629047
"63",2025 Q3,NA,455.570899946479,320.600930384205,590.540869508753
"64",2025 Q4,NA,458.81665683871,314.279840078473,603.353473598946
"65",2026 Q1,NA,462.06241373094,308.895574316061,615.229253145819
"66",2026 Q2,NA,465.308170623171,304.197283358557,626.419057887785
"67",2026 Q3,NA,468.553927515401,300.02748575488,637.080369275923
"68",2026 Q4,NA,471.799684407632,296.279716567368,647.319652247896
"69",2027 Q1,NA,475.045441299862,292.878077827024,657.2128047727
"70",2027 Q2,NA,478.291198192093,289.766257881903,666.816138502283
"71",2027 Q3,NA,481.536955084324,286.901155229433,676.172754939214
"72",2027 Q4,NA,484.782711976554,284.248945878919,685.31647807419
"73",2028 Q1,NA,488.028468868785,281.782538482757,694.274399254812
"74",2028 Q2,NA,491.274225761015,279.479861656162,703.068589865869
"75",2028 Q3,NA,494.519982653246,277.32267309428,711.717292212212
"76",2028 Q4,NA,497.765739545476,275.295708310436,720.235770780517
"77",2029 Q1,NA,501.011496437707,273.386057549284,728.63693532613
"78",2029 Q2,NA,504.257253329938,271.582700246413,736.931806413463
"79",2029 Q3,NA,507.503010222168,269.876150887422,745.129869556914
"80",2029 Q4,NA,510.748767114399,268.258185301443,753.239348927355
