"","Quarter_Year","Actual","Forecasted","Forecasted_male_adj","Lower_CI","Upper_CI","Lower_CI_adj","Upper_CI_adj"
"1",2010 Q1,6007.08,NA,NA,NA,NA,NA,NA
"2",2010 Q2,6115.61,NA,NA,NA,NA,NA,NA
"3",2010 Q3,6160.11,NA,NA,NA,NA,NA,NA
"4",2010 Q4,6233.28,NA,NA,NA,NA,NA,NA
"5",2011 Q1,6236.86,NA,NA,NA,NA,NA,NA
"6",2011 Q2,6235.45,NA,NA,NA,NA,NA,NA
"7",2011 Q3,6210.42,NA,NA,NA,NA,NA,NA
"8",2011 Q4,6245.91,NA,NA,NA,NA,NA,NA
"9",2012 Q1,6264.74,NA,NA,NA,NA,NA,NA
"10",2012 Q2,6258.11,NA,NA,NA,NA,NA,NA
"11",2012 Q3,6257.42,NA,NA,NA,NA,NA,NA
"12",2012 Q4,6319.53,NA,NA,NA,NA,NA,NA
"13",2013 Q1,6302.74,NA,NA,NA,NA,NA,NA
"14",2013 Q2,6372.06,NA,NA,NA,NA,NA,NA
"15",2013 Q3,6461.3,NA,NA,NA,NA,NA,NA
"16",2013 Q4,6464.12,NA,NA,NA,NA,NA,NA
"17",2014 Q1,6387.67,NA,NA,NA,NA,NA,NA
"18",2014 Q2,6392.3,NA,NA,NA,NA,NA,NA
"19",2014 Q3,6372.72,NA,NA,NA,NA,NA,NA
"20",2014 Q4,6361.6,NA,NA,NA,NA,NA,NA
"21",2015 Q1,6238.84,NA,NA,NA,NA,NA,NA
"22",2015 Q2,6196.68,NA,NA,NA,NA,NA,NA
"23",2015 Q3,6156.11,NA,NA,NA,NA,NA,NA
"24",2015 Q4,6050.26,NA,NA,NA,NA,NA,NA
"25",2016 Q1,5928.99,NA,NA,NA,NA,NA,NA
"26",2016 Q2,5862.84,NA,NA,NA,NA,NA,NA
"27",2016 Q3,5816.78,NA,NA,NA,NA,NA,NA
"28",2016 Q4,5814.22,NA,NA,NA,NA,NA,NA
"29",2017 Q1,5789.59,NA,NA,NA,NA,NA,NA
"30",2017 Q2,5870.09,NA,NA,NA,NA,NA,NA
"31",2017 Q3,5874.68,NA,NA,NA,NA,NA,NA
"32",2017 Q4,5894.61,NA,NA,NA,NA,NA,NA
"33",2018 Q1,5966.01,NA,NA,NA,NA,NA,NA
"34",2018 Q2,5928.58,NA,NA,NA,NA,NA,NA
"35",2018 Q3,6020.48,NA,NA,NA,NA,NA,NA
"36",2018 Q4,6058.54,NA,NA,NA,NA,NA,NA
"37",2019 Q1,6123.84,NA,NA,NA,NA,NA,NA
"38",2019 Q2,6184.26,NA,NA,NA,NA,NA,NA
"39",2019 Q3,6191.7,NA,NA,NA,NA,NA,NA
"40",2019 Q4,6185.23,NA,NA,NA,NA,NA,NA
"41",2020 Q1,6073.31,NA,NA,NA,NA,NA,NA
"42",2020 Q2,5559.15,NA,NA,NA,NA,NA,NA
"43",2020 Q3,5320.9,NA,NA,NA,NA,NA,NA
"44",2020 Q4,5195.88,NA,NA,NA,NA,NA,NA
"45",2021 Q1,5145.15,NA,NA,NA,NA,NA,NA
"46",2021 Q2,5250.58,NA,NA,NA,NA,NA,NA
"47",2021 Q3,5408.63,NA,NA,NA,NA,NA,NA
