"","Quarter_Year","Forecasted_hybrid","Lower_CI","Upper_CI","Percent_Change"
"1",2025 Q1,449.079386162018,338.35315255505,559.805619768986,NA
"2",2025 Q2,452.325143054249,328.30539447945,576.344891629047,0.7
"3",2025 Q3,455.570899946479,320.600930384205,590.540869508753,0.7
"4",2025 Q4,458.81665683871,314.279840078473,603.353473598946,0.7
"5",2026 Q1,462.06241373094,308.895574316061,615.229253145819,0.7
"6",2026 Q2,465.308170623171,304.197283358557,626.419057887785,0.7
"7",2026 Q3,468.553927515401,300.02748575488,637.080369275923,0.7
"8",2026 Q4,471.799684407632,296.279716567368,647.319652247896,0.7
"9",2027 Q1,475.045441299862,292.878077827024,657.2128047727,0.7
"10",2027 Q2,478.291198192093,289.766257881903,666.816138502283,0.7
"11",2027 Q3,481.536955084324,286.901155229433,676.172754939214,0.7
"12",2027 Q4,484.782711976554,284.248945878919,685.31647807419,0.7
"13",2028 Q1,488.028468868785,281.782538482757,694.274399254812,0.7
"14",2028 Q2,491.274225761015,279.479861656162,703.068589865869,0.7
"15",2028 Q3,494.519982653246,277.32267309428,711.717292212212,0.7
"16",2028 Q4,497.765739545476,275.295708310436,720.235770780517,0.7
"17",2029 Q1,501.011496437707,273.386057549284,728.63693532613,0.7
"18",2029 Q2,504.257253329938,271.582700246413,736.931806413463,0.6
"19",2029 Q3,507.503010222168,269.876150887422,745.129869556914,0.6
"20",2029 Q4,510.748767114399,268.258185301443,753.239348927355,0.6
