"","Quarter_Year","Forecasted_hybrid","Lower_CI","Upper_CI","Percent_Change"
"1",2025 Q1,6396.05993854815,5896.34397831692,6895.77589877937,NA
"2",2025 Q2,6415.83040471356,5853.14802509775,6978.51278432937,0.3
"3",2025 Q3,6435.60087087897,5821.08499309444,7050.1167486635,0.3
"4",2025 Q4,6455.37133704439,5795.5986446397,7115.14402944907,0.3
"5",2026 Q1,6475.1418032098,5774.56934183553,7175.71426458406,0.3
"6",2026 Q2,6494.91226937521,5756.80628569827,7233.01825305216,0.3
"7",2026 Q3,6514.68273554063,5741.56182316437,7287.80364791689,0.3
"8",2026 Q4,6534.45320170604,5728.33043414183,7340.57596927025,0.3
"9",2027 Q1,6554.22366787145,5716.75167295036,7391.69566279255,0.3
"10",2027 Q2,6573.99413403687,5706.55805188057,7441.43021619316,0.3
"11",2027 Q3,6593.76460020228,5697.54477895156,7489.984421453,0.3
"12",2027 Q4,6613.5350663677,5689.55109333991,7537.51903939547,0.3
"13",2028 Q1,6633.30553253311,5682.4481875216,7584.16287754462,0.3
"14",2028 Q2,6653.07599869852,5676.13107917599,7630.02091822105,0.3
"15",2028 Q3,6672.84646486394,5670.51295964197,7675.1799700859,0.3
"16",2028 Q4,6692.61693102935,5665.52115426199,7719.7127077967,0.3
"17",2029 Q1,6712.38739719476,5661.09416565683,7763.6806287327,0.3
"18",2029 Q2,6732.15786336018,5657.1794647072,7807.13626201316,0.3
"19",2029 Q3,6751.92832952559,5653.73181021573,7850.12484883545,0.3
"20",2029 Q4,6771.698795691,5650.71195028115,7892.68564110085,0.3
