"","Quarter_Year","Forecasted_hybrid","Lower_CI","Upper_CI","Percent_Change"
"1",2025 Q1,5946.98055238613,5535.14426066479,6358.81684410747,NA
"2",2025 Q2,5963.50526165931,5500.20782837212,6426.8026949465,0.3
"3",2025 Q3,5980.02997093249,5474.36544437062,6485.69449749437,0.3
"4",2025 Q4,5996.55468020568,5453.89470021866,6539.21466019269,0.3
"5",2026 Q1,6013.07938947886,5437.06388352383,6589.09489543389,0.3
"6",2026 Q2,6029.60409875204,5422.90014167753,6636.30805582655,0.3
"7",2026 Q3,6046.12880802523,5410.79267198657,6681.46494406388,0.3
"8",2026 Q4,6062.65351729841,5400.32849455497,6724.97854004185,0.3
"9",2027 Q1,6079.17822657159,5391.21315559421,6767.14329754897,0.3
"10",2027 Q2,6095.70293584477,5383.22814831451,6808.17772337504,0.3
"11",2027 Q3,6112.22764511796,5376.20618863562,6848.2491016003,0.3
"12",2027 Q4,6128.75235439114,5370.01596616625,6887.48874261603,0.3
"13",2028 Q1,6145.27706366432,5364.55227651443,6926.00185081421,0.3
"14",2028 Q2,6161.80177293751,5359.72938054843,6963.87416532658,0.3
"15",2028 Q3,6178.32648221069,5355.47638700054,7001.17657742084,0.3
"16",2028 Q4,6194.85119148387,5351.73395198596,7037.96843098179,0.3
"17",2029 Q1,6211.37590075706,5348.4518632802,7074.29993823391,0.3
"18",2029 Q2,6227.90061003024,5345.58723547855,7110.21398458193,0.3
"19",2029 Q3,6244.42531930342,5343.10313709311,7145.74750151373,0.3
"20",2029 Q4,6260.9500285766,5340.96752951509,7180.93252763812,0.3
