"","Quarter_Year","Forecasted_hybrid","Lower_CI","Upper_CI","Percent_Change"
"1",2025 Q1,6396.05993854814,5873.49741321984,6918.62246387645,NA
"2",2025 Q2,6424.31029450945,5836.33432037603,7012.28626864287,0.4
"3",2025 Q3,6452.61973706482,5810.5461449906,7094.69332913904,0.4
"4",2025 Q4,6480.98838369343,5791.47336477307,7170.50340261379,0.4
"5",2026 Q1,6509.4163520891,5776.95071868401,7241.8819854942,0.4
"6",2026 Q2,6537.90376016064,5765.76307499468,7310.0444453266,0.4
"7",2026 Q3,6566.45072603224,5757.14829141001,7375.75316065447,0.4
"8",2026 Q4,6595.05736804384,5750.59157095462,7439.52316513305,0.4
"9",2027 Q1,6623.7238047515,5745.72621734481,7501.72139215818,0.4
"10",2027 Q2,6652.45015492779,5742.28037116383,7562.61993869175,0.4
"11",2027 Q3,6681.23653756216,5740.04609652125,7622.42697860307,0.4
"12",2027 Q4,6710.0830718613,5738.86032413271,7681.30581958989,0.4
"13",2028 Q1,6738.98987724955,5738.59252545792,7739.38722904117,0.4
"14",2028 Q2,6767.95707336922,5739.13642160296,7796.77772513548,0.4
"15",2028 Q3,6796.98478008106,5740.40422110106,7853.56533906107,0.4
"16",2028 Q4,6826.07311746456,5742.32250300902,7909.8237319201,0.4
"17",2029 Q1,6855.22220581834,5744.82920497169,7965.61520666498,0.4
"18",2029 Q2,6884.43216566057,5747.87137392027,8020.99295740086,0.4
"19",2029 Q3,6913.70311772931,5751.40345580297,8076.00277965566,0.4
"20",2029 Q4,6943.03518298295,5755.38597435764,8130.68439160825,0.4
