"","Quarter_Year","Actual","Forecasted","Lower_CI","Upper_CI"
"1",2010 Q1,6573.68,NA,NA,NA
"2",2010 Q2,6659.76,NA,NA,NA
"3",2010 Q3,6732.17,NA,NA,NA
"4",2010 Q4,6828.88,NA,NA,NA
"5",2011 Q1,6840.7,NA,NA,NA
"6",2011 Q2,6832.03,NA,NA,NA
"7",2011 Q3,6782.96,NA,NA,NA
"8",2011 Q4,6827.51,NA,NA,NA
"9",2012 Q1,6876.13,NA,NA,NA
"10",2012 Q2,6867.91,NA,NA,NA
"11",2012 Q3,6878.44,NA,NA,NA
"12",2012 Q4,6958.33,NA,NA,NA
"13",2013 Q1,6954.79,NA,NA,NA
"14",2013 Q2,7058.03,NA,NA,NA
"15",2013 Q3,7133.87,NA,NA,NA
"16",2013 Q4,7144.54,NA,NA,NA
"17",2014 Q1,7037.97,NA,NA,NA
"18",2014 Q2,7031.64,NA,NA,NA
"19",2014 Q3,7007.58,NA,NA,NA
"20",2014 Q4,7010.23,NA,NA,NA
"21",2015 Q1,6865.66,NA,NA,NA
"22",2015 Q2,6778.75,NA,NA,NA
"23",2015 Q3,6720.54,NA,NA,NA
"24",2015 Q4,6582.5,NA,NA,NA
"25",2016 Q1,6425.85,NA,NA,NA
"26",2016 Q2,6336.44,NA,NA,NA
"27",2016 Q3,6253.76,NA,NA,NA
"28",2016 Q4,6237.26,NA,NA,NA
"29",2017 Q1,6207.6,NA,NA,NA
"30",2017 Q2,6317.33,NA,NA,NA
"31",2017 Q3,6345.44,NA,NA,NA
"32",2017 Q4,6368.18,NA,NA,NA
"33",2018 Q1,6460.4,NA,NA,NA
"34",2018 Q2,6472.23,NA,NA,NA
"35",2018 Q3,6578.99,NA,NA,NA
"36",2018 Q4,6633.19,NA,NA,NA
"37",2019 Q1,6707.34,NA,NA,NA
"38",2019 Q2,6780.12,NA,NA,NA
"39",2019 Q3,6793.89,NA,NA,NA
"40",2019 Q4,6777.95,NA,NA,NA
"41",2020 Q1,6634.52,NA,NA,NA
"42",2020 Q2,6007.08,NA,NA,NA
"43",2020 Q3,5698.08,NA,NA,NA
"44",2020 Q4,5565.31,NA,NA,NA
"45",2021 Q1,5542.15,NA,NA,NA
"46",2021 Q2,5695.27,NA,NA,NA
"47",2021 Q3,5871.1,NA,NA,NA
"48",2021 Q4,5930.29,NA,NA,NA
"49",2022 Q1,5906.25,NA,NA,NA
"50",2022 Q2,5880.08,NA,NA,NA
"51",2022 Q3,5939.4,NA,NA,NA
"52",2022 Q4,5988.6,NA,NA,NA
"53",2023 Q1,6051.89,NA,NA,NA
"54",2023 Q2,6124.02,NA,NA,NA
"55",2023 Q3,6193.81,NA,NA,NA
"56",2023 Q4,6336.49,NA,NA,NA
"57",2024 Q1,6479.43,NA,NA,NA
"58",2024 Q2,6407.53,NA,NA,NA
"59",2024 Q3,6392.34,NA,NA,NA
"60",2024 Q4,6364.97,NA,NA,NA
"61",2025 Q1,NA,6396.05993854815,5896.34397831692,6895.77589877937
"62",2025 Q2,NA,6415.83040471356,5853.14802509775,6978.51278432937
"63",2025 Q3,NA,6435.60087087897,5821.08499309444,7050.1167486635
"64",2025 Q4,NA,6455.37133704439,5795.5986446397,7115.14402944907
"65",2026 Q1,NA,6475.1418032098,5774.56934183553,7175.71426458406
"66",2026 Q2,NA,6494.91226937521,5756.80628569827,7233.01825305216
"67",2026 Q3,NA,6514.68273554063,5741.56182316437,7287.80364791689
"68",2026 Q4,NA,6534.45320170604,5728.33043414183,7340.57596927025
"69",2027 Q1,NA,6554.22366787145,5716.75167295036,7391.69566279255
"70",2027 Q2,NA,6573.99413403687,5706.55805188057,7441.43021619316
"71",2027 Q3,NA,6593.76460020228,5697.54477895156,7489.984421453
"72",2027 Q4,NA,6613.5350663677,5689.55109333991,7537.51903939547
"73",2028 Q1,NA,6633.30553253311,5682.4481875216,7584.16287754462
"74",2028 Q2,NA,6653.07599869852,5676.13107917599,7630.02091822105
"75",2028 Q3,NA,6672.84646486394,5670.51295964197,7675.1799700859
"76",2028 Q4,NA,6692.61693102935,5665.52115426199,7719.7127077967
"77",2029 Q1,NA,6712.38739719476,5661.09416565683,7763.6806287327
"78",2029 Q2,NA,6732.15786336018,5657.1794647072,7807.13626201316
"79",2029 Q3,NA,6751.92832952559,5653.73181021573,7850.12484883545
"80",2029 Q4,NA,6771.698795691,5650.71195028115,7892.68564110085
