"","Quarter_Year","Actual","Forecasted","Lower_CI","Upper_CI"
"1",2010 Q1,6573.68,NA,NA,NA
"2",2010 Q2,6659.76,NA,NA,NA
"3",2010 Q3,6732.17,NA,NA,NA
"4",2010 Q4,6828.88,NA,NA,NA
"5",2011 Q1,6840.7,NA,NA,NA
"6",2011 Q2,6832.03,NA,NA,NA
"7",2011 Q3,6782.96,NA,NA,NA
"8",2011 Q4,6827.51,NA,NA,NA
"9",2012 Q1,6876.13,NA,NA,NA
"10",2012 Q2,6867.91,NA,NA,NA
"11",2012 Q3,6878.44,NA,NA,NA
"12",2012 Q4,6958.33,NA,NA,NA
"13",2013 Q1,6954.79,NA,NA,NA
"14",2013 Q2,7058.03,NA,NA,NA
"15",2013 Q3,7133.87,NA,NA,NA
"16",2013 Q4,7144.54,NA,NA,NA
"17",2014 Q1,7037.97,NA,NA,NA
"18",2014 Q2,7031.64,NA,NA,NA
"19",2014 Q3,7007.58,NA,NA,NA
"20",2014 Q4,7010.23,NA,NA,NA
"21",2015 Q1,6865.66,NA,NA,NA
"22",2015 Q2,6778.75,NA,NA,NA
"23",2015 Q3,6720.54,NA,NA,NA
"24",2015 Q4,6582.5,NA,NA,NA
"25",2016 Q1,6425.85,NA,NA,NA
"26",2016 Q2,6336.44,NA,NA,NA
"27",2016 Q3,6253.76,NA,NA,NA
"28",2016 Q4,6237.26,NA,NA,NA
"29",2017 Q1,6207.6,NA,NA,NA
"30",2017 Q2,6317.33,NA,NA,NA
"31",2017 Q3,6345.44,NA,NA,NA
"32",2017 Q4,6368.18,NA,NA,NA
"33",2018 Q1,6460.4,NA,NA,NA
"34",2018 Q2,6472.23,NA,NA,NA
"35",2018 Q3,6578.99,NA,NA,NA
"36",2018 Q4,6633.19,NA,NA,NA
"37",2019 Q1,6707.34,NA,NA,NA
"38",2019 Q2,6780.12,NA,NA,NA
"39",2019 Q3,6793.89,NA,NA,NA
"40",2019 Q4,6777.95,NA,NA,NA
"41",2020 Q1,6634.52,NA,NA,NA
"42",2020 Q2,6007.08,NA,NA,NA
"43",2020 Q3,5698.08,NA,NA,NA
"44",2020 Q4,5565.31,NA,NA,NA
"45",2021 Q1,5542.15,NA,NA,NA
"46",2021 Q2,5695.27,NA,NA,NA
"47",2021 Q3,5871.1,NA,NA,NA
"48",2021 Q4,5930.29,NA,NA,NA
"49",2022 Q1,5906.25,NA,NA,NA
"50",2022 Q2,5880.08,NA,NA,NA
"51",2022 Q3,5939.4,NA,NA,NA
"52",2022 Q4,5988.6,NA,NA,NA
"53",2023 Q1,6051.89,NA,NA,NA
"54",2023 Q2,6124.02,NA,NA,NA
"55",2023 Q3,6193.81,NA,NA,NA
"56",2023 Q4,6336.49,NA,NA,NA
"57",2024 Q1,6479.43,NA,NA,NA
"58",2024 Q2,6407.53,NA,NA,NA
"59",2024 Q3,6392.34,NA,NA,NA
"60",2024 Q4,6364.97,NA,NA,NA
"61",2025 Q1,NA,6396.05993854814,5873.49741321984,6918.62246387645
"62",2025 Q2,NA,6424.31029450945,5836.33432037603,7012.28626864287
"63",2025 Q3,NA,6452.61973706482,5810.5461449906,7094.69332913904
"64",2025 Q4,NA,6480.98838369343,5791.47336477307,7170.50340261379
"65",2026 Q1,NA,6509.4163520891,5776.95071868401,7241.8819854942
"66",2026 Q2,NA,6537.90376016064,5765.76307499468,7310.0444453266
"67",2026 Q3,NA,6566.45072603224,5757.14829141001,7375.75316065447
"68",2026 Q4,NA,6595.05736804384,5750.59157095462,7439.52316513305
"69",2027 Q1,NA,6623.7238047515,5745.72621734481,7501.72139215818
"70",2027 Q2,NA,6652.45015492779,5742.28037116383,7562.61993869175
"71",2027 Q3,NA,6681.23653756216,5740.04609652125,7622.42697860307
"72",2027 Q4,NA,6710.0830718613,5738.86032413271,7681.30581958989
"73",2028 Q1,NA,6738.98987724955,5738.59252545792,7739.38722904117
"74",2028 Q2,NA,6767.95707336922,5739.13642160296,7796.77772513548
"75",2028 Q3,NA,6796.98478008106,5740.40422110106,7853.56533906107
"76",2028 Q4,NA,6826.07311746456,5742.32250300902,7909.8237319201
"77",2029 Q1,NA,6855.22220581834,5744.82920497169,7965.61520666498
"78",2029 Q2,NA,6884.43216566057,5747.87137392027,8020.99295740086
"79",2029 Q3,NA,6913.70311772931,5751.40345580297,8076.00277965566
"80",2029 Q4,NA,6943.03518298295,5755.38597435764,8130.68439160825
