"","Quarter_Year","gender","top_ofnse_typ_desc","admin_type","count"
"1",2010 Q1,"F","ALCOHOL & DRUG","New Commitment",87.42
"2",2010 Q1,"F","ALCOHOL & DRUG","Technical Commitment",1
"3",2010 Q1,"F","ALCOHOL & DRUG","Technical Commitment",10.04
"4",2010 Q1,"F","DRIVING","New Commitment",22.64
"5",2010 Q1,"F","DRIVING","Technical Commitment",5.91
"6",2010 Q1,"F","DRUG POSSESSION ONLY","New Commitment",56.7
"7",2010 Q1,"F","DRUG POSSESSION ONLY","Technical Commitment",1
"8",2010 Q1,"F","DRUG POSSESSION ONLY","Technical Commitment",10.34
"9",2010 Q1,"F","MURDER","New Commitment",39.59
"10",2010 Q1,"F","MURDER","Technical Commitment",1
"11",2010 Q1,"F","MURDER","Technical Commitment",1.01
"12",2010 Q1,"F","OTHER","New Commitment",15.77
"13",2010 Q1,"F","OTHER","Technical Commitment",1.37
"14",2010 Q1,"F","PERSON","New Commitment",75.87
"15",2010 Q1,"F","PERSON","Technical Commitment",1
"16",2010 Q1,"F","PERSON","Technical Commitment",6.04
"17",2010 Q1,"F","PROPERTY","New Commitment",155.99
"18",2010 Q1,"F","PROPERTY","Technical Commitment",49.3
"19",2010 Q1,"F","SEX OFFENSE","New Commitment",23.61
"20",2010 Q1,"F","WEAPONS","New Commitment",1
"21",2010 Q1,"M","OTHER","New Commitment",3.82
"22",2010 Q1,"M","ALCOHOL & DRUG","New Commitment",427.98
"23",2010 Q1,"M","ALCOHOL & DRUG","Technical Commitment",2
"24",2010 Q1,"M","ALCOHOL & DRUG","Technical Commitment",60.28
"25",2010 Q1,"M","DRIVING","New Commitment",239.22
"26",2010 Q1,"M","DRIVING","Technical Commitment",38.77
"27",2010 Q1,"M","DRUG POSSESSION ONLY","New Commitment",190.48
"28",2010 Q1,"M","DRUG POSSESSION ONLY","Technical Commitment",1
"29",2010 Q1,"M","DRUG POSSESSION ONLY","Technical Commitment",61.49
"30",2010 Q1,"M","MURDER","New Commitment",578.13
"31",2010 Q1,"M","MURDER","Technical Commitment",23.31
"32",2010 Q1,"M","MURDER","Technical Commitment",15.61
"33",2010 Q1,"M","OTHER","New Commitment",58.91
"34",2010 Q1,"M","OTHER","Technical Commitment",15.76
"35",2010 Q1,"M","PERSON","New Commitment",971.54
"36",2010 Q1,"M","PERSON","Technical Commitment",5.34
"37",2010 Q1,"M","PERSON","Technical Commitment",106.42
"38",2010 Q1,"M","PROPERTY","New Commitment",988.97
"39",2010 Q1,"M","PROPERTY","Technical Commitment",3
"40",2010 Q1,"M","PROPERTY","Technical Commitment",157.38
"41",2010 Q1,"M","SEX OFFENSE","New Commitment",6.22
"42",2010 Q1,"M","SEX OFFENSE","New Commitment",1770.56
"43",2010 Q1,"M","SEX OFFENSE","Technical Commitment",16
"44",2010 Q1,"M","SEX OFFENSE","Technical Commitment",192.91
"45",2010 Q1,"M","WEAPONS","New Commitment",61.9
"46",2010 Q1,"M","WEAPONS","Technical Commitment",1
"47",2010 Q1,"M","WEAPONS","Technical Commitment",9.08
"48",2010 Q2,"F","ALCOHOL & DRUG","New Commitment",81.65
"49",2010 Q2,"F","ALCOHOL & DRUG","Technical Commitment",1
"50",2010 Q2,"F","ALCOHOL & DRUG","Technical Commitment",6.44
"51",2010 Q2,"F","DRIVING","New Commitment",18.02
"52",2010 Q2,"F","DRIVING","Technical Commitment",5.01
"53",2010 Q2,"F","DRUG POSSESSION ONLY","New Commitment",56.69
"54",2010 Q2,"F","DRUG POSSESSION ONLY","Technical Commitment",1
"55",2010 Q2,"F","DRUG POSSESSION ONLY","Technical Commitment",9.34
"56",2010 Q2,"F","MURDER","New Commitment",39
"57",2010 Q2,"F","MURDER","Technical Commitment",1
"58",2010 Q2,"F","MURDER","Technical Commitment",1.07
