"","Quarter_Year","Inmates","pc_change"
"1","2010 Q1",566.6,NA
"2","2010 Q2",544.15,-3.96
"3","2010 Q3",572.06,5.13
"4","2010 Q4",595.6,4.11
"5","2011 Q1",603.84,1.38
"6","2011 Q2",596.58,-1.2
"7","2011 Q3",572.54,-4.03
"8","2011 Q4",581.6,1.58
"9","2012 Q1",611.39,5.12
"10","2012 Q2",609.8,-0.26
"11","2012 Q3",621.02,1.84
"12","2012 Q4",638.8,2.86
"13","2013 Q1",652.05,2.07
"14","2013 Q2",685.97,5.2
"15","2013 Q3",672.57,-1.95
"16","2013 Q4",680.42,1.17
"17","2014 Q1",650.3,-4.43
"18","2014 Q2",639.34,-1.69
"19","2014 Q3",634.86,-0.7
"20","2014 Q4",648.63,2.17
"21","2015 Q1",626.82,-3.36
"22","2015 Q2",582.07,-7.14
"23","2015 Q3",564.43,-3.03
"24","2015 Q4",532.24,-5.7
"25","2016 Q1",496.86,-6.65
"26","2016 Q2",473.6,-4.68
"27","2016 Q3",436.98,-7.73
"28","2016 Q4",423.04,-3.19
"29","2017 Q1",418.01,-1.19
"30","2017 Q2",447.24,6.99
"31","2017 Q3",470.76,5.26
"32","2017 Q4",473.57,0.6
"33","2018 Q1",494.39,4.4
"34","2018 Q2",543.65,9.96
"35","2018 Q3",558.51,2.73
"36","2018 Q4",574.65,2.89
"37","2019 Q1",583.5,1.54
"38","2019 Q2",595.86,2.12
"39","2019 Q3",602.19,1.06
"40","2019 Q4",592.72,-1.57
"41","2020 Q1",561.21,-5.32
"42","2020 Q2",447.93,-20.18
"43","2020 Q3",377.18,-15.79
"44","2020 Q4",369.43,-2.05
"45","2021 Q1",397,7.46
"46","2021 Q2",444.69,12.01
"47","2021 Q3",462.47,4
"48","2021 Q4",483.19,4.48
"49","2022 Q1",459.74,-4.85
"50","2022 Q2",450.1,-2.1
"51","2022 Q3",453.28,0.71
"52","2022 Q4",443.79,-2.09
"53","2023 Q1",446.88,0.7
"54","2023 Q2",464.59,3.96
"55","2023 Q3",467.83,0.7
"56","2023 Q4",475.82,1.71
"57","2024 Q1",493.73,3.76
"58","2024 Q2",472.6,-4.28
"59","2024 Q3",444.53,-5.94
"60","2024 Q4",443.57,-0.22
