"","Quarter_Year","Inmates","pc_change"
"1","2010 Q1",6007.08,NA
"2","2010 Q2",6115.61,1.81
"3","2010 Q3",6160.11,0.73
"4","2010 Q4",6233.28,1.19
"5","2011 Q1",6236.86,0.06
"6","2011 Q2",6235.45,-0.02
"7","2011 Q3",6210.42,-0.4
"8","2011 Q4",6245.91,0.57
"9","2012 Q1",6264.74,0.3
"10","2012 Q2",6258.11,-0.11
"11","2012 Q3",6257.42,-0.01
"12","2012 Q4",6319.53,0.99
"13","2013 Q1",6302.74,-0.27
"14","2013 Q2",6372.06,1.1
"15","2013 Q3",6461.3,1.4
"16","2013 Q4",6464.12,0.04
"17","2014 Q1",6387.67,-1.18
"18","2014 Q2",6392.3,0.07
"19","2014 Q3",6372.72,-0.31
"20","2014 Q4",6361.6,-0.17
"21","2015 Q1",6238.84,-1.93
"22","2015 Q2",6196.68,-0.68
"23","2015 Q3",6156.11,-0.65
"24","2015 Q4",6050.26,-1.72
"25","2016 Q1",5928.99,-2
"26","2016 Q2",5862.84,-1.12
"27","2016 Q3",5816.78,-0.79
"28","2016 Q4",5814.22,-0.04
"29","2017 Q1",5789.59,-0.42
"30","2017 Q2",5870.09,1.39
"31","2017 Q3",5874.68,0.08
"32","2017 Q4",5894.61,0.34
"33","2018 Q1",5966.01,1.21
"34","2018 Q2",5928.58,-0.63
"35","2018 Q3",6020.48,1.55
"36","2018 Q4",6058.54,0.63
"37","2019 Q1",6123.84,1.08
"38","2019 Q2",6184.26,0.99
"39","2019 Q3",6191.7,0.12
"40","2019 Q4",6185.23,-0.1
"41","2020 Q1",6073.31,-1.81
"42","2020 Q2",5559.15,-8.47
"43","2020 Q3",5320.9,-4.29
"44","2020 Q4",5195.88,-2.35
"45","2021 Q1",5145.15,-0.98
"46","2021 Q2",5250.58,2.05
"47","2021 Q3",5408.63,3.01
"48","2021 Q4",5447.1,0.71
"49","2022 Q1",5446.51,-0.01
"50","2022 Q2",5429.98,-0.3
"51","2022 Q3",5486.12,1.03
"52","2022 Q4",5544.81,1.07
"53","2023 Q1",5605.01,1.09
"54","2023 Q2",5659.43,0.97
"55","2023 Q3",5725.98,1.18
"56","2023 Q4",5860.67,2.35
"57","2024 Q1",5985.7,2.13
"58","2024 Q2",5934.93,-0.85
"59","2024 Q3",5947.81,0.22
"60","2024 Q4",5921.4,-0.44
