"","Quarter_Year","Inmates","pc_change"
"1","2010 Q1",6573.68,NA
"2","2010 Q2",6659.76,1.31
"3","2010 Q3",6732.17,1.09
"4","2010 Q4",6828.88,1.44
"5","2011 Q1",6840.7,0.17
"6","2011 Q2",6832.03,-0.13
"7","2011 Q3",6782.96,-0.72
"8","2011 Q4",6827.51,0.66
"9","2012 Q1",6876.13,0.71
"10","2012 Q2",6867.91,-0.12
"11","2012 Q3",6878.44,0.15
"12","2012 Q4",6958.33,1.16
"13","2013 Q1",6954.79,-0.05
"14","2013 Q2",7058.03,1.48
"15","2013 Q3",7133.87,1.07
"16","2013 Q4",7144.54,0.15
"17","2014 Q1",7037.97,-1.49
"18","2014 Q2",7031.64,-0.09
"19","2014 Q3",7007.58,-0.34
"20","2014 Q4",7010.23,0.04
"21","2015 Q1",6865.66,-2.06
"22","2015 Q2",6778.75,-1.27
"23","2015 Q3",6720.54,-0.86
"24","2015 Q4",6582.5,-2.05
"25","2016 Q1",6425.85,-2.38
"26","2016 Q2",6336.44,-1.39
"27","2016 Q3",6253.76,-1.3
"28","2016 Q4",6237.26,-0.26
"29","2017 Q1",6207.6,-0.48
"30","2017 Q2",6317.33,1.77
"31","2017 Q3",6345.44,0.44
"32","2017 Q4",6368.18,0.36
"33","2018 Q1",6460.4,1.45
"34","2018 Q2",6472.23,0.18
"35","2018 Q3",6578.99,1.65
"36","2018 Q4",6633.19,0.82
"37","2019 Q1",6707.34,1.12
"38","2019 Q2",6780.12,1.09
"39","2019 Q3",6793.89,0.2
"40","2019 Q4",6777.95,-0.23
"41","2020 Q1",6634.52,-2.12
"42","2020 Q2",6007.08,-9.46
"43","2020 Q3",5698.08,-5.14
"44","2020 Q4",5565.31,-2.33
"45","2021 Q1",5542.15,-0.42
"46","2021 Q2",5695.27,2.76
"47","2021 Q3",5871.1,3.09
"48","2021 Q4",5930.29,1.01
"49","2022 Q1",5906.25,-0.41
"50","2022 Q2",5880.08,-0.44
"51","2022 Q3",5939.4,1.01
"52","2022 Q4",5988.6,0.83
"53","2023 Q1",6051.89,1.06
"54","2023 Q2",6124.02,1.19
"55","2023 Q3",6193.81,1.14
"56","2023 Q4",6336.49,2.3
"57","2024 Q1",6479.43,2.26
"58","2024 Q2",6407.53,-1.11
"59","2024 Q3",6392.34,-0.24
"60","2024 Q4",6364.97,-0.43
