"Quarter_Year","Male_Count","Female_Count","Total_Count","Male_Proportion","Female_Proportion","Type"
2010 Q1,6007.08,566.6,6573.68,91.3807791069842,8.61922089301578,"Historical"
2010 Q2,6115.61,544.15,6659.76,91.8292851394044,8.17071486059558,"Historical"
2010 Q3,6160.11,572.06,6732.17,91.5025912892871,8.49740871071289,"Historical"
2010 Q4,6233.28,595.6,6828.88,91.2782183901313,8.72178160986868,"Historical"
2011 Q1,6236.86,603.84,6840.7,91.1728331895859,8.82716681041414,"Historical"
2011 Q2,6235.45,596.58,6832.03,91.2678954864074,8.73210451359259,"Historical"
2011 Q3,6210.42,572.54,6782.96,91.5591423213464,8.44085767865357,"Historical"
2011 Q4,6245.91,581.6,6827.51,91.4815210816242,8.5184789183758,"Historical"
2012 Q1,6264.74,611.39,6876.13,91.1085159821004,8.8914840178996,"Historical"
2012 Q2,6258.11,609.8,6867.91,91.1210251735972,8.87897482640279,"Historical"
2012 Q3,6257.42,621.02,6878.44,90.9714993515972,9.02850064840283,"Historical"
2012 Q4,6319.53,638.8,6958.33,90.8196363207839,9.18036367921613,"Historical"
2013 Q1,6302.74,652.05,6954.79,90.6244473233556,9.37555267664444,"Historical"
2013 Q2,6372.06,685.97,7058.03,90.2809990889809,9.71900091101908,"Historical"
2013 Q3,6461.3,672.57,7133.87,90.572157889056,9.42784211094399,"Historical"
2013 Q4,6464.12,680.42,7144.54,90.4763637686961,9.5236362313039,"Historical"
2014 Q1,6387.67,650.3,7037.97,90.7601197504394,9.2398802495606,"Historical"
2014 Q2,6392.3,639.34,7031.64,90.9076687657502,9.09233123424976,"Historical"
2014 Q3,6372.72,634.86,7007.58,90.9403817009581,9.0596182990419,"Historical"
2014 Q4,6361.6,648.63,7010.23,90.7473791872735,9.25262081272654,"Historical"
2015 Q1,6238.84,626.82,6865.66,90.8702149538427,9.12978504615725,"Historical"
2015 Q2,6196.68,582.07,6778.75,91.4133136640236,8.5866863359764,"Historical"
2015 Q3,6156.11,564.43,6720.54,91.6014189335976,8.3985810664024,"Historical"
2015 Q4,6050.26,532.24,6582.5,91.9143182681352,8.08568173186479,"Historical"
2016 Q1,5928.99,496.86,6425.85,92.2677933658582,7.73220663414179,"Historical"
2016 Q2,5862.84,473.6,6336.44,92.5257715688936,7.47422843110643,"Historical"
2016 Q3,5816.78,436.98,6253.76,93.0125236657627,6.98747633423732,"Historical"
2016 Q4,5814.22,423.04,6237.26,93.2175346225747,6.78246537742534,"Historical"
2017 Q1,5789.59,418.01,6207.6,93.2661576132483,6.73384238675172,"Historical"
2017 Q2,5870.09,447.24,6317.33,92.9204268258901,7.07957317410995,"Historical"
2017 Q3,5874.68,470.76,6345.44,92.5811291257974,7.41887087420258,"Historical"
2017 Q4,5894.61,473.57,6368.18,92.5634953785854,7.43650462141459,"Historical"
2018 Q1,5966.01,494.39,6460.4,92.3473778713392,7.65262212866076,"Historical"
2018 Q2,5928.58,543.65,6472.23,91.6002676048286,8.39973239517137,"Historical"
2018 Q3,6020.48,558.51,6578.99,91.5107030106445,8.48929698935551,"Historical"
2018 Q4,6058.54,574.65,6633.19,91.3367474774581,8.66325252254194,"Historical"
2019 Q1,6123.84,583.5,6707.34,91.3005751907612,8.69942480923884,"Historical"
2019 Q2,6184.26,595.86,6780.12,91.21165997062,8.78834002938001,"Historical"
2019 Q3,6191.7,602.19,6793.89,91.1363004111047,8.86369958889532,"Historical"
2019 Q4,6185.23,592.72,6777.95,91.255173024292,8.744826975708,"Historical"
2020 Q1,6073.31,561.21,6634.52,91.5410609961233,8.45893900387669,"Historical"
2020 Q2,5559.15,447.93,6007.08,92.5432989072894,7.4567010927106,"Historical"
2020 Q3,5320.9,377.18,5698.08,93.3805773172718,6.61942268272822,"Historical"
2020 Q4,5195.88,369.43,5565.31,93.3619151493807,6.63808485061928,"Historical"
2021 Q1,5145.15,397,5542.15,92.8367149932788,7.16328500672122,"Historical"
2021 Q2,5250.58,444.69,5695.27,92.1919417341057,7.80805826589433,"Historical"
2021 Q3,5408.63,462.47,5871.1,92.1229411864898,7.87705881351024,"Historical"
2021 Q4,5447.1,483.19,5930.29,91.852169118205,8.14783088179499,"Historical"
