year,female_population,male_population,population_18,population_18_65,total_population,moe_female_population,moe_male_population,moe_population_18,moe_population_18_65,moe_total_population,pc_change_all
2010,1322376,1334860,1823488,1588191,2657236,502,502,5119.4,4573.3,NA,
2011,1351209,1364170,1863703,1620550,2715379,608,608,5428.8,4885.3,NA,0.020
2012,1376247,1389986,1899143,1647215,2766233,546,546,5185.4,4614.6,NA,0.016
2013,1399406,1414267,1934173,1672760,2813673,647,647,5344.7,4803.8,NA,0.016
2014,1421463,1436648,1969166,1697495,2858111,496,496,5397.8,4817.7,NA,0.015
2015,1444150,1459229,2005861,1723066,2903379,553,553,5577.1,4986.4,NA,0.015
2016,1465372,1483055,2043231,1747889,2948427,414,414,5513.1,4880.2,NA,0.014
2017,1487327,1506614,2082530,1775435,2993941,614,614,5714.7,5023.2,NA,0.016
2018,1512582,1532768,2126301,1806032,3045350,662,662,5582.1,4944,NA,0.017
2019,1537980,1558868,2173265,1839316,3096848,603,603,6039,5187.8,NA,0.018
2020,1564289,1586950,2223670,1874660,3151239,587,587,6884.8,5980.5,NA,0.019
2021,1597527,1633843,2285307,1927139,3231370,621,621,7081,6155.8,NA,0.028
2022,1618600,1665209,2347812,1973468,3283809,747,747,7283.5,6351.5,NA,0.024
2023,1644625,1686562,2387055,2000027,3331187,710,710,7430.5,6319.4,NA,0.013
2024,1677518,1720293,2434796,2040028,3397811,724,724,7579,6446,NA,2
